timepoint,date,system_load
2020-01-23 00:00,2020-01-23,532.598516655
2020-01-23 02:00,2020-01-23,482.672997961
2020-01-23 04:00,2020-01-23,564.319411133
2020-01-23 06:00,2020-01-23,845.770985082
2020-01-23 08:00,2020-01-23,918.921213665
2020-01-23 10:00,2020-01-23,957.789031729
2020-01-23 12:00,2020-01-23,968.355032392
2020-01-23 14:00,2020-01-23,959.755831599
2020-01-23 16:00,2020-01-23,952.048600371
2020-01-23 18:00,2020-01-23,1054.70131556
2020-01-23 20:00,2020-01-23,926.331121705
2020-01-23 22:00,2020-01-23,696.143020798
2020-02-23 00:00,2020-02-23,572.735611598
2020-02-23 02:00,2020-02-23,502.066845136
2020-02-23 04:00,2020-02-23,518.144561644
2020-02-23 06:00,2020-02-23,647.589655597
2020-02-23 08:00,2020-02-23,853.055124018
2020-02-23 10:00,2020-02-23,937.926307282
2020-02-23 12:00,2020-02-23,941.16238403
2020-02-23 14:00,2020-02-23,936.325368481
2020-02-23 16:00,2020-02-23,952.197261965
2020-02-23 18:00,2020-02-23,1011.08791232
2020-02-23 20:00,2020-02-23,923.5295137
2020-02-23 22:00,2020-02-23,760.328117725
2020-03-23 00:00,2020-03-23,568.836280799
2020-03-23 02:00,2020-03-23,503.439068423
2020-03-23 04:00,2020-03-23,516.543692637
2020-03-23 06:00,2020-03-23,609.13348358
2020-03-23 08:00,2020-03-23,795.719627489
2020-03-23 10:00,2020-03-23,853.878485908
2020-03-23 12:00,2020-03-23,862.134578533
2020-03-23 14:00,2020-03-23,858.040801161
2020-03-23 16:00,2020-03-23,873.855533215
2020-03-23 18:00,2020-03-23,927.325967885
2020-03-23 20:00,2020-03-23,884.421533878
2020-03-23 22:00,2020-03-23,710.985729368
2020-04-23 00:00,2020-04-23,543.073017154
2020-04-23 02:00,2020-04-23,492.89596025
2020-04-23 04:00,2020-04-23,560.774564952
2020-04-23 06:00,2020-04-23,820.602367814
2020-04-23 08:00,2020-04-23,962.008508412
2020-04-23 10:00,2020-04-23,1028.94949816
2020-04-23 12:00,2020-04-23,1052.34562254
2020-04-23 14:00,2020-04-23,1057.27420805
2020-04-23 16:00,2020-04-23,1044.36396062
2020-04-23 18:00,2020-04-23,1045.74769994
2020-04-23 20:00,2020-04-23,981.448140567
2020-04-23 22:00,2020-04-23,733.5700079
2020-05-23 00:00,2020-05-23,615.228399557
2020-05-23 02:00,2020-05-23,561.906626481
2020-05-23 04:00,2020-05-23,641.40330925
2020-05-23 06:00,2020-05-23,897.76631985
2020-05-23 08:00,2020-05-23,1042.00840719
2020-05-23 10:00,2020-05-23,1100.0870721
2020-05-23 12:00,2020-05-23,1111.76238139
2020-05-23 14:00,2020-05-23,1098.4633804
2020-05-23 16:00,2020-05-23,1047.26851503
2020-05-23 18:00,2020-05-23,1018.73791232
2020-05-23 20:00,2020-05-23,967.405971192
2020-05-23 22:00,2020-05-23,782.42069629
2020-06-23 00:00,2020-06-23,595.136959596
2020-06-23 02:00,2020-06-23,541.369201738
2020-06-23 04:00,2020-06-23,612.00369926
2020-06-23 06:00,2020-06-23,846.560008238
2020-06-23 08:00,2020-06-23,1003.43791231
2020-06-23 10:00,2020-06-23,1083.87221004
2020-06-23 12:00,2020-06-23,1106.43359608
2020-06-23 14:00,2020-06-23,1108.45762717
2020-06-23 16:00,2020-06-23,1080.95620938
2020-06-23 18:00,2020-06-23,1048.5606844
2020-06-23 20:00,2020-06-23,1030.49320574
2020-06-23 22:00,2020-06-23,798.018089281
2020-07-23 00:00,2020-07-23,654.221986726
2020-07-23 02:00,2020-07-23,594.588098199
2020-07-23 04:00,2020-07-23,656.531894763
2020-07-23 06:00,2020-07-23,885.793757165
2020-07-23 08:00,2020-07-23,1032.13992952
2020-07-23 10:00,2020-07-23,1113.90073534
2020-07-23 12:00,2020-07-23,1130.49304431
2020-07-23 14:00,2020-07-23,1124.39805854
2020-07-23 16:00,2020-07-23,1108.74350412
2020-07-23 18:00,2020-07-23,1073.18044027
2020-07-23 20:00,2020-07-23,1036.87406845
2020-07-23 22:00,2020-07-23,818.235298347
2020-08-23 00:00,2020-08-23,645.302640049
2020-08-23 02:00,2020-08-23,574.382265584
2020-08-23 04:00,2020-08-23,589.78535159
2020-08-23 06:00,2020-08-23,717.881114745
2020-08-23 08:00,2020-08-23,933.169275858
2020-08-23 10:00,2020-08-23,1013.58082068
2020-08-23 12:00,2020-08-23,1019.81288221
2020-08-23 14:00,2020-08-23,1013.72948228
2020-08-23 16:00,2020-08-23,1004.92438866
